country,project,finance,stage,xcoord,ycoord
Albania,"Trans Adriatic Pipeline
",1442,Financed,2176967.911,4971590.817
Argentina,Cauchari Solar PV Plant,390,Complete,-7437429.555,-2728741.714
Azerbaijan,Shah Denize II Gas Field,28000,Ongoing,5579872.833,4861264.34
Bahrain,Bahrain Waste-to-Energy,480,Tendering,5631142.085,3027395.176
Bangladesh,Payra Oil-Fired Power Plant,109,Agreed,10052560.28,2511761.251
Bangladesh,Shahjibazar Natural Gas Power Plant,280,Financed,10172348.47,2784442.947
Bangladesh,Ghorashal Petroleum Plant Re-Power,330,Complete,10087694.23,2747850.156
Bosnia and Herzegovina,Uglejevik 3 Coal Power Station,782,Ongoing,2114467.268,5573599.808
Bulgaria,Various Solar Projects,247,Ongoing,2835181.795,5249069.75
Cambodia,Rural Power Grid Extension Project,53,Complete,11681251.94,1294516.983
Cambodia,Lower Stung Russey Chrum/ Orussei Hydropower Project,518,Complete,11497456.7,1286141.819
Cambodia,Preah Sihanouk Oil Refinery,620,Ongoing,11595966.73,1186412.54
Cambodia,Lower Se San 2 Hydroelectric Project,782,Complete,11829205.88,1523067.298
Chile,Punnta Sierra Wind Farm,150,Complete,-7972349.767,-3654125.062
Egypt,Egyptian Power Grid Upgrade,1000,Ongoing,3470746.118,3515328.983
Ethiopia,Aysha Wind Project,257,Completed,4738925.754,1203579.92
Ethiopia,Adama Wind Project 2,340,Complete,4371602.094,953996.4038
Ethiopia,Genale Dawa III Hydro Project,450,Complete,4203829.081,764384.2322
Ethiopia,Ethiopia-Kenya Electricity Transmission Line,1200,Ongoing,4275589.304,752928.706
Ethipoia,Addia Ababa Waste-to-Energy Plant,118,Complete,4315050.806,1007983.839
Georgia,Inter Rao Khrami Hydro Power Plant 1 and 2,104,Complete,4895628.904,5102420.473
Georgia,Shuakhevi Hydropower Project,417,Complete,4696577.278,5106053.709
Ghana,Tema Waste-to-Energy Plant,300,Approved,3341.953961,639424.5828
Greece,"Trans Adriatic Pipeline
",1442,Financed,2928450.326,5004894.89
India,"Chabahar-Gujarat Subsea Gas Pipeline
",2250,Planning,7781672.806,2432478.196
